Comment,Designator,Footprint,LCSC Part #,Block
TPS54560DDAR,U1,SOIC-8-EP,C31966,Power
SS56C,D1,SMC_DO-214AB,C123948,Power
MWSA1004S-6R8MT 6.8uH,L2,IND-SMD_MDA1054HT,C408485,Power
TPS259571DSGR,U2,WSON-8-EP-2x2,C471038,Power
RT9080-33GJ5,U3,TSOT-23-5,C841192,Power
TPS563201DDCR,U4,SOT-23-6,C116592,Power
SWPA4030S3R3MT 3.3uH,L3,IND-SMD_SMNR4012,C15269,Power
IRFR5305TRPBF,Q1,TO-252,C2624,Power
SMBJ24A,TV1,SMB_DO-214AA,C87268,Power
BZT52C12-7-F,D2,SOD-123,C124196,Power
B5819W,D4,SOD-123,C8598,Power
91302-55-067R2M,U5,M.2-M-KEY-67P,C2922444,CM4
HR911130C,L1,RJ45-MAGJACK-THT,C50933,CM4
DF40C-100DS-0.4V(51) (CM4 receptacles on the U19 pads - NOT in the EasyEDA BOM; add by hand),"J_CM_A,J_CM_B",DF40-100P-0.4mm,C597931,CM4
Female header 1x3 2.54mm (console),H1,HDR-F-2.54_1X3,C146690,CM4
Female header 2x2 2.54mm (USB + nRPIBOOT),H3,HDR-F-2.54_2X2,C239342,CM4
MCP251863T-E/SS,"U7,U8,U9",SSOP-28,C5226885,CAN
OT2EL4C4JI-111OLP-40M 40MHz oscillator,X1,OSC-SMD-3225-4P,C5203551,CAN
NUP2105L,"D5,D6,D7",SOT-23,C284104,CAN
ADC128S102CIMTX/NOPB,U21,TSSOP-16,C179666,Analog
SP3232EEN-L/TR,U12,SOIC-16,C9378,Serial
SMAJ12CA-13-F,"D9,D10,D11,D12",SMA_DO-214AC,C134948,Serial
ESD9B5V,"D13,D16",SOD-923,C2905646,Field IO
SMAJ16A,"D14,D17,D18",SMA_DO-214AC,C283886,Field IO
SRV05-4,D15,SOT-23-6,C558418,Field IO
STWD100NXWY3F (consider STWD100NYWY3F 1.6s),U20,SOT-23-5,C1852782,Supervision
SN74AHCT1G125DBVR,U22,SOT-23-5,C7484,HMI
SK6812SIDE-A,"D19,D20,D21,D22",LED-SMD-4P-4.0x1.6,C5378721,HMI
KT-0603YG,D23,0603,C2289,HMI
2N7002,Q2,SOT-23,C8545,HMI
PS1240P02BT,BUZZER1,BUZ-TH-D12.5-P5.0,C76871,HMI
PTS645VH83-2LFS,SW1,KEY-TH-6x6,C221889,HMI
CM4101000 (hand-fit - EXCLUDE from assembly; EasyEDA BOM lists C20754863),U19,CM4-MODULE,HANDFIT-NOT-JLC,CM4
UM982EB module (hand-fit; populate one of U16/P2),U16,UM982EB-MODULE,HANDFIT-NOT-JLC,GPS
ArduSimple simpleRTK2B (hand-fit; populate one of U16/P2),P2,ARDUSIMPLE-SHIELD,HANDFIT-NOT-JLC,GPS
ATS13-26PA-BM01 (hand-soldered),J1,ATS1326PABM01,HANDFIT-NOT-JLC,Field IO
100nF X7R,"C32,C33,C34,C44,C45,C46,C47,C48,C49,C50,C64,C66,C69,C70,C71,C72,C73,C74,C76,C77,C78,C79,C83,C85,C86,C87,C88,C89,C90,C91",0402,C1525,All
1uF X5R,"C54,C55,C56,C62,C63,C80,C84",0603,C15849,All
10nF X7R,"C29,C30",0402,C15195,Power
4.7nF X7R,C8,0402,C1538,Power
47pF C0G,C9,0402,C1567,Power
1nF 2kV,C22,1206,C9196,CM4
10uF 25V X5R,"C10,C11,C12,C19,C20,C21,C67",0805,C15850,Power
22uF X5R,"C13,C14,C15,C16,C17,C18",0805,C45783,Power
10uF 50V X5R,"C1,C2",1206,C13585,Power
47uF 10V X5R,"C3,C4,C5",1206,C96123,Power
470uF 50V electrolytic,"C6,C7",SMD-D12.5,C90272,Power
243k 1%,R1,0402,C43249,Power
442k 1%,R2,0402,C273339,Power
90.9k 1%,R3,0402,C26989,Power
487R 1%,R4,0402,C3015778,Power
16.9k 1%,R5,0402,C25858,Power
8.2k,R6,0402,C25924,Power
52.3k 1%,R7,0402,C26982,Power
33k 1%,R8,0402,C25779,Power
100k,"R40,R42,R43",0402,C25741,Power
10k,"R15,R47,R48,R49,R50,R51,R59,R61,R62,R69,R74,R75",0402,C25744,All
4.7k 1%,R63,0402,C2906869,Supervision
1k,"R13,R14,R58,R60,R70,R72,R73,R79",0402,C11702,All
470R,R32,0402,C25117,HMI
330R,"R27,R28,R29,R71",0402,C25104,Field IO
100R,R33,0402,C25076,HMI
33R 1%,"R64,R65,R66",0402,C2906868,CAN
