Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"BUZZER1"	"BUZ-TH_BD12.5-P5.00-D0.9"	"-164.47mm"	"78.99mm"	"-164.47mm"	"78.99mm"	"-166.97mm"	"78.99mm"	"T"	"0"	"4000Hz"
"C1"	"C1206"	"6.48mm"	"68.07mm"	"6.48mm"	"68.07mm"	"8.07mm"	"68.07mm"	"T"	"180"	"10uF"
"C2"	"C1206"	"6.48mm"	"70.99mm"	"6.48mm"	"70.99mm"	"8.07mm"	"70.99mm"	"T"	"180"	"10uF"
"C3"	"C1206"	"19.81mm"	"88.39mm"	"19.81mm"	"88.39mm"	"19.81mm"	"86.8mm"	"T"	"90"	"47uF"
"C4"	"C1206"	"22.35mm"	"88.39mm"	"22.35mm"	"88.39mm"	"22.35mm"	"86.8mm"	"T"	"90"	"47uF"
"C5"	"C1206"	"24.89mm"	"88.39mm"	"24.89mm"	"88.39mm"	"24.89mm"	"86.8mm"	"T"	"90"	"47uF"
"C6"	"CAP-SMD_BD12.5-L13.0-W13.0-RD"	"22.35mm"	"57.66mm"	"22.35mm"	"57.66mm"	"22.35mm"	"63.46mm"	"T"	"90"	"470uF"
"C7"	"CAP-SMD_BD12.5-L13.0-W13.0-RD"	"8.26mm"	"57.66mm"	"8.26mm"	"57.66mm"	"8.26mm"	"63.46mm"	"T"	"90"	"470uF"
"C8"	"C0402"	"13.46mm"	"87.5mm"	"13.46mm"	"87.5mm"	"13.46mm"	"87.92mm"	"T"	"270"	"4.7nF"
"C9"	"C0402"	"16mm"	"87.5mm"	"16mm"	"87.5mm"	"16mm"	"87.08mm"	"T"	"90"	"47pF"
"C10"	"C0805"	"-153.8mm"	"71.88mm"	"-153.8mm"	"71.88mm"	"-154.8mm"	"71.88mm"	"T"	"0"	"10uF"
"C11"	"C0805"	"-146.18mm"	"71.88mm"	"-146.18mm"	"71.88mm"	"-147.18mm"	"71.88mm"	"T"	"0"	"10uF"
"C12"	"C0805"	"-138.56mm"	"71.88mm"	"-138.56mm"	"71.88mm"	"-139.56mm"	"71.88mm"	"T"	"0"	"10uF"
"C13"	"C0805"	"-130.94mm"	"71.88mm"	"-130.94mm"	"71.88mm"	"-131.94mm"	"71.88mm"	"T"	"0"	"22uF"
"C14"	"C0805"	"-123.32mm"	"71.88mm"	"-123.32mm"	"71.88mm"	"-124.32mm"	"71.88mm"	"T"	"0"	"22uF"
"C15"	"C0805"	"-115.7mm"	"71.88mm"	"-115.7mm"	"71.88mm"	"-116.7mm"	"71.88mm"	"T"	"0"	"22uF"
"C16"	"C0805"	"-108.08mm"	"71.88mm"	"-108.08mm"	"71.88mm"	"-109.08mm"	"71.88mm"	"T"	"0"	"22uF"
"C17"	"C0805"	"-52.2mm"	"51.56mm"	"-52.2mm"	"51.56mm"	"-53.2mm"	"51.56mm"	"T"	"0"	"22uF"
"C18"	"C0805"	"-44.58mm"	"51.56mm"	"-44.58mm"	"51.56mm"	"-45.58mm"	"51.56mm"	"T"	"0"	"22uF"
"C19"	"C0805"	"-36.96mm"	"51.56mm"	"-36.96mm"	"51.56mm"	"-37.96mm"	"51.56mm"	"T"	"0"	"10uF"
"C20"	"C0805"	"-87.76mm"	"43.94mm"	"-87.76mm"	"43.94mm"	"-88.76mm"	"43.94mm"	"T"	"0"	"10uF"
